verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"אמיתי","20","תנופה","detour","צומת שערי תקווה","מסוף אורנית","17","5.176","7","36.2","2.8","32.11623","35.02488","המסלול מתקדם ואז חוזר 2058 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""צומת שערי תקווה"" ל-""מסוף אורנית"", בעוד קו 17 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","832","אגד","detour","מסעף גבע","צומת יזרעאל","853","3.304","1","3.3","1.72","32.55778","35.36643","המסלול מתקדם ואז חוזר 1226 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""מסעף גבע"" ל-""צומת יזרעאל"", בעוד קו 853 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","688","מטרופולין","detour","מחלף מיתר לצפון","לקיה כניסה דרומית","588","2.905","1","2.9","2.38","31.30852","34.9015","המסלול מתקדם ואז חוזר 1265 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""מחלף מיתר לצפון"" ל-""לקיה כניסה דרומית"", בעוד קו 588 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","85","נתיב אקספרס","detour","שפרינצק/קרן היסוד","אצ''ל/צה''ל","88","2.405","1","2.4","4.98","32.95849","35.49424","לא ניתן להשוואה — קו 88 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","97","אגד","detour","זמיר","זמיר/סמטת טווס","1א","2.163","1","2.2","12.44","32.89859","35.28561","סטייה של 2.2 ק""מ במקטע אחד מול קו 1א (יחס פי 12.44) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","84","אגד","detour","זמיר","זמיר/סמטת טווס","1א","2.163","2","4.3","12.44","32.89859","35.28561","סטייה של 2.2 ק""מ במקטע אחד מול קו 1א (יחס פי 12.44) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","24","אגד","detour","שדרות בן גוריון/הכרכום","שדרות בן גוריון/דרך מנחם בגין","2","1.84","1","1.8","4.49","32.5871","34.95145","המסלול מתקדם ואז חוזר 521 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""שדרות בן גוריון/הכרכום"" ל-""שדרות בן גוריון/דרך מנחם בגין"", בעוד קו 2 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","92","נתיב אקספרס","detour","אצ''ל/דרך הרב חיים חורי","שפרינצק/קרן היסוד","85","1.757","1","1.8","5.71","32.95846","35.49289","לא ניתן להשוואה — קו 85 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","92","נתיב אקספרס","detour","אצ''ל/דרך הרב חיים חורי","שפרינצק/קרן היסוד","85","1.757","1","1.8","5.71","32.95846","35.49289","לא ניתן להשוואה — קו 85 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","34","ש.א.מ","detour","דליה/כליל החורש","דליה/הגומא","340","1.687","39","65.8","6.55","32.72969","35.33081","לא ניתן להשוואה — קו 340 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
