train,from,to,railOnly,gtfsOnly
"611","תל אביב מרכז","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"615","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"619","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"623","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"626","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"630","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"635","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"646","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"651","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"654","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"658","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"659","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"662","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
"663","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"667","הרצליה","באר שבע מרכז","חולון וולפסון | בת ים - אלי כהן - יוספטל",""
"670","באר שבע מרכז","הרצליה","בת ים - אלי כהן - יוספטל | חולון וולפסון",""
